,Angular Second Moment,Contrast,Correlation,Variance,Inverse Difference Moment,Sum Average,Sum Variance,Sum Entropy,Entropy,Difference Variance,Difference Entropy,Info Correlation 1,Info Correlation 2,Area,Eccentricity,Perimeter,Grade
2,0.5060488009774493,682.9155618388315,0.9399611228978473,5680.827145720659,0.736303870582831,90.71765147228851,22040.393021043805,3.2018157109312875,3.878726855261791,0.0020785499114807974,2.35293651299484,-0.6057586297694503,0.9826017825741493,2298,0.4426764524667775,335.39696961967,HG
3,0.4737586330269472,834.2611336171906,0.9299478981012648,5949.582542446092,0.7180903591682055,98.34173736235864,22964.06903616718,3.391745203241867,4.149275605792309,0.001963972253345443,2.5053761344927814,-0.5728755358595987,0.981863715580783,2234,0.4557899832416389,357.61017305526644,HG
4,0.43784407783315205,913.4382252652732,0.92706693649608,6256.486437230257,0.6961397420345649,107.13891120293093,24112.507523655753,3.625855423074147,4.480303048435499,0.0018976298503654118,2.6470123574876436,-0.5605312789674054,0.9845238282092867,2154,0.4663992856471668,361.33199846221436,HG
5,0.3944403116944861,995.4278072113424,0.9220239913753675,6377.971012246385,0.6720228596138107,115.7343270598594,24516.456241774205,3.899415190827865,4.850993665380122,0.0017030372965750576,2.7959750597805497,-0.5464819976905624,0.986747352292924,2058,0.4431642749594299,382.05992052357226,HG
6,0.37370251073004257,1053.393445330267,0.9156557965985345,6240.205272611893,0.6578623626724538,118.11401975944946,23907.427645117306,4.0055621657285965,5.021035885547583,0.0015506390144818367,2.9078691043473075,-0.5325530810953323,0.9866984193280978,2012,0.4337027434747091,403.58073580374355,HG
7,0.3505906045122174,1046.5734402131177,0.9145125452502565,6116.950195401096,0.641864684041653,121.62276853688971,23421.227341391263,4.1727830874482414,5.249760752637705,0.0015332236985700568,3.0285242908894405,-0.5191948492339786,0.9870656378970804,1956,0.4468893995967315,400.54520189781084,HG
8,0.3417989149666772,1320.0649095454241,0.8858956751696594,5781.159240339997,0.6312541549135332,118.28160375237832,21804.57205181456,4.257182019577087,5.332685102808294,0.001488346182181701,3.160584808283794,-0.4949212451335576,0.9846341200308981,1955,0.434122307094319,428.37972567696687,HG
9,0.45990650007514144,2062.576644634437,0.7899309333207796,4904.581123788948,0.699049545149767,84.80787659293279,17555.747850521355,3.4850419250159055,4.160175176325772,0.0018688827915576767,2.8640739600465284,-0.4596404484232982,0.9567577299033252,2299,0.4922041744156079,584.1909088590099,HG
10,0.4895408673986819,1854.9346032862575,0.7992583822677166,4615.605394105329,0.7211770720583692,79.30031008271416,16607.486973135055,3.2545555977932747,3.87715226299554,0.0019785126990186372,2.668638908324548,-0.46254263744209656,0.9497213083579936,2351,0.49430637048998866,559.2619766708755,HG
11,0.49322819290098074,1741.985662809754,0.8033493752091239,4424.846721266774,0.7244559802000344,77.35627829488863,15957.401222257336,3.2185416357107735,3.832741550626322,0.002024300826533132,2.6359507573507974,-0.4663854140012814,0.9497008620874583,2356,0.48626506003609,575.7827919510468,HG
12,0.4670841897894147,1800.9517893163759,0.7815808188310157,4118.966721052939,0.7100668966097887,77.16109223253616,14674.915094895381,3.3786617411500988,4.038273900859541,0.0018810313372192237,2.7680334139869522,-0.44598575262601003,0.9488437665180558,2315,0.470639140722533,604.2680733252853,HG
13,0.4949865091695187,1613.1412542126886,0.780855860614105,3677.2131753979993,0.729110987924217,70.23757315212163,13095.711447379308,3.157901673694848,3.7741099444003248,0.002031050335813421,2.598144201872345,-0.44326711184098233,0.9392692879526274,2367,0.4732473621587006,592.2680733252853,HG
14,0.5175478166661828,1602.194514078629,0.7611232307142111,3350.6324893409774,0.7428492180345295,64.46448681332011,11800.335443285281,2.9866559841892437,3.564627284014901,0.0023081380512871854,2.487554930371253,-0.4193614474224735,0.9207008814550262,2418,0.46538314335570957,606.5107140124046,HG
15,0.5114188278647996,1761.820660082587,0.7313438169287255,3276.221511677273,0.7375941173744167,63.910612751605555,11343.065386626507,3.039188244101802,3.610767260465644,0.002311277619197922,2.5520390094001244,-0.4089610540155991,0.9175658494138477,2416,0.4494325711630633,625.0965004500315,HG
16,0.5432297432049875,1569.4477503098283,0.7393274168980827,3007.4027058999473,0.7589902078022862,58.312821969006144,10460.163073289961,2.8431317452433826,3.3584803603865887,0.002872061812253502,2.3742834585833457,-0.42032594360348174,0.9116314711607778,2472,0.4239853516849148,595.3685783886737,HG
17,0.49638826090734894,1792.7788987991983,0.7271464633799224,3282.6748546623808,0.7304109275456528,65.34535499402398,11337.920519850322,3.1349776038314316,3.7281622820075553,0.0026643576240843823,2.600630210916141,-0.4054579888102561,0.9210654301508094,2389,0.4249272503753833,620.6822868876584,HG
18,0.5216542211325259,1434.4183927061217,0.7748389592520013,3182.3628980645008,0.7469196039009769,62.907426886050224,11295.033199551883,2.9565943686244247,3.5531948621106335,0.00272455124825376,2.455652070724114,-0.42247590055866147,0.9216712119257195,2416,0.39577892396798925,558.605122421383,HG
19,0.5431070913682043,1540.591475248944,0.744230814584272,3008.8431867932118,0.7594323724820087,58.31187456473481,10494.781271923903,2.8247320450300446,3.3516409316988796,0.0028537688344060876,2.3697313444489443,-0.420013990960026,0.9113018095689509,2470,0.4113894659455931,582.747258045114,HG
20,0.5309607066561532,1518.2788036346392,0.7574824899213923,3127.5294169898334,0.7545597004060679,60.999617963336355,10991.838864324693,2.891719422593816,3.448649367583681,0.002692722032765375,2.388687435131497,-0.41711856100617994,0.9143037216296395,2440,0.3653689420106494,584.7178207935912,HG
21,0.512948200439517,1796.6002457631362,0.7112535040637061,3108.5028889987298,0.7387879520625393,61.79073552077864,10637.411310231784,3.009406049303239,3.576499887591045,0.0025929470608817653,2.5254371556011685,-0.39387672126257817,0.9084714789214137,2423,0.3812407463134262,629.2386360737624,HG
22,0.516498297098948,1868.8337109342856,0.6914742222585615,3025.888924371716,0.7419358031207172,60.286369932792084,10234.721986552577,2.971745597225439,3.5184004026637274,0.0025087741067135708,2.4943684189136137,-0.37654233506354834,0.8959526078644675,2440,0.4507223305571929,644.6173157302028,HG
23,0.5727105259183705,1827.072995564006,0.6636880308375126,2714.0341855029214,0.7753969144104428,51.506283087577266,9029.063746447679,2.590664143307254,3.017258266570774,0.00259067235754735,2.212866239806198,-0.36479019828462983,0.8589289687334454,2553,0.43925679832494346,630.6822868876584,HG
